% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0352143	3	1	3	0.00333333	7.02728e+12	2
0.0362143	1	1	3	0.00333333	7.02728e+12	0
0.0362143	1	2	1	0.00333333	7.02728e+12	0
0.0362143	1	3	2	0.00333333	7.02728e+12	0
0.0362143	2	2	1	0.00333333	7.02728e+12	1
0.0362143	2	3	2	0.00333333	7.02728e+12	1
0.0362143	2	1	3	0.00333333	7.02728e+12	1
0.0362143	3	2	1	0.00333333	7.02728e+12	2
0.0362143	3	3	2	0.00333333	7.02728e+12	2
0.0362143	3	1	3	0.00333333	7.02728e+12	2
0.0372143	1	1	3	0.00333333	7.02728e+12	0
0.0372143	1	2	1	0.00333333	7.02728e+12	0
0.0372143	1	3	2	0.00333333	7.02728e+12	0
0.0372143	2	2	1	0.00333333	7.02728e+12	1
0.0372143	2	3	2	0.00333333	7.02728e+12	1
0.0372143	2	1	3	0.00333333	7.02728e+12	1
0.0372143	3	2	1	0.00333333	7.02728e+12	2
0.0372143	3	3	2	0.00333333	7.02728e+12	2
0.0372143	3	1	3	0.00333333	7.02728e+12	2
0.0382143	1	1	3	0.00333333	7.02728e+12	0
0.0382143	1	2	1	0.00333333	7.02728e+12	0
0.0382143	1	3	2	0.00333333	7.02728e+12	0
0.0382143	2	2	1	0.00333333	7.02728e+12	1
0.0382143	2	3	2	0.00333333	7.02728e+12	1
0.0382143	2	1	3	0.00333333	7.02728e+12	1
0.0382143	3	2	1	0.00333333	7.02728e+12	2
0.0382143	3	3	2	0.00333333	7.02728e+12	2
0.0382143	3	1	3	0.00333333	7.02728e+12	2
0.0392143	1	1	3	0.00333333	7.02728e+12	0
0.0392143	1	2	1	0.00333333	7.02728e+12	0
0.0392143	1	3	2	0.00333333	7.02728e+12	0
0.0392143	2	2	1	0.00333333	7.02728e+12	1
0.0392143	2	3	2	0.00333333	7.02728e+12	1
0.0392143	2	1	3	0.00333333	7.02728e+12	1
0.0392143	3	2	1	0.00333333	7.02728e+12	2
0.0392143	3	3	2	0.00333333	7.02728e+12	2
0.0392143	3	1	3	0.00333333	7.02728e+12	2
0.0402143	1	1	3	0.00333333	7.02728e+12	0
0.0402143	1	2	1	0.00333333	7.02728e+12	0
0.0402143	1	3	2	0.00333333	7.02728e+12	0
0.0402143	2	2	1	0.00333333	7.02728e+12	1
0.0402143	2	3	2	0.00333333	7.02728e+12	1
0.0402143	2	1	3	0.00333333	7.02728e+12	1
0.0402143	3	2	1	0.00333333	7.02728e+12	2
0.0402143	3	3	2	0.00333333	7.02728e+12	2
0.0402143	3	1	3	0.00333333	7.02728e+12	2
0.0412143	1	1	3	0.00333333	7.02728e+12	0
0.0412143	1	2	1	0.00333333	7.02728e+12	0
0.0412143	1	3	2	0.00333333	7.02728e+12	0
0.0412143	2	2	1	0.00333333	7.02728e+12	1
0.0412143	2	3	2	0.00333333	7.02728e+12	1
0.0412143	2	1	3	0.00333333	7.02728e+12	1
0.0412143	3	2	1	0.00333333	7.02728e+12	2
0.0412143	3	3	2	0.00333333	7.02728e+12	2
0.0412143	3	1	3	0.00333333	7.02728e+12	2
0.0422143	1	1	3	0.00333333	7.02728e+12	0
0.0422143	1	2	1	0.00333333	7.02728e+12	0
0.0422143	1	3	2	0.00333333	7.02728e+12	0
0.0422143	2	2	1	0.00333333	7.02728e+12	1
0.0422143	2	3	2	0.00333333	7.02728e+12	1
0.0422143	2	1	3	0.00333333	7.02728e+12	1
0.0422143	3	2	1	0.00333333	7.02728e+12	2
0.0422143	3	3	2	0.00333333	7.02728e+12	2
0.0422143	3	1	3	0.00333333	7.02728e+12	2
0.0432143	1	1	3	0.00333333	7.02728e+12	0
0.0432143	1	2	1	0.00333333	7.02728e+12	0
0.0432143	1	3	2	0.00333333	7.02728e+12	0
0.0432143	2	2	1	0.00333333	7.02728e+12	1
0.0432143	2	3	2	0.00333333	7.02728e+12	1
0.0432143	2	1	3	0.00333333	7.02728e+12	1
0.0432143	3	2	1	0.00333333	7.02728e+12	2
0.0432143	3	3	2	0.00333333	7.02728e+12	2
0.0432143	3	1	3	0.00333333	7.02728e+12	2
0.0442143	1	1	3	0.00333333	7.02728e+12	0
0.0442143	1	2	1	0.00333333	7.02728e+12	0
0.0442143	1	3	2	0.00333333	7.02728e+12	0
0.0442143	2	2	1	0.00333333	7.02728e+12	1
0.0442143	2	3	2	0.00333333	7.02728e+12	1
0.0442143	2	1	3	0.00333333	7.02728e+12	1
0.0442143	3	2	1	0.00333333	7.02728e+12	2
0.0442143	3	3	2	0.00333333	7.02728e+12	2
0.0442143	3	1	3	0.00333333	7.02728e+12	2
0.0452143	1	1	3	0.00333333	7.02728e+12	0
0.0452143	1	2	1	0.00333333	7.02728e+12	0
0.0452143	1	3	2	0.00333333	7.02728e+12	0
0.0452143	2	2	1	0.00333333	7.02728e+12	1
0.0452143	2	3	2	0.00333333	7.02728e+12	1
0.0452143	2	1	3	0.00333333	7.02728e+12	1
0.0452143	3	2	1	0.00333333	7.02728e+12	2
0.0452143	3	3	2	0.00333333	7.02728e+12	2
0.0452143	3	1	3	0.00333333	7.02728e+12	2
0.0462143	1	1	3	0.00333333	7.02728e+12	0
0.0462143	1	2	1	0.00333333	7.02728e+12	0
0.0462143	1	3	2	0.00333333	7.02728e+12	0
0.0462143	2	2	1	0.00333333	7.02728e+12	1
0.0462143	2	3	2	0.00333333	7.02728e+12	1
0.0462143	2	1	3	0.00333333	7.02728e+12	1
0.0462143	3	2	1	0.00333333	7.02728e+12	2
0.0462143	3	3	2	0.00333333	7.02728e+12	2
0.0462143	3	1	3	0.00333333	7.02728e+12	2
0.0472143	1	1	3	0.00333333	7.02728e+12	0
0.0472143	1	2	1	0.00333333	7.02728e+12	0
0.0472143	1	3	2	0.00333333	7.02728e+12	0
0.0472143	2	2	1	0.00333333	7.02728e+12	1
0.0472143	2	3	2	0.00333333	7.02728e+12	1
0.0472143	2	1	3	0.00333333	7.02728e+12	1
0.0472143	3	2	1	0.00333333	7.02728e+12	2
0.0472143	3	3	2	0.00333333	7.02728e+12	2
0.0472143	3	1	3	0.00333333	7.02728e+12	2
0.0482143	1	1	3	0.00333333	7.02728e+12	0
0.0482143	1	2	1	0.00333333	7.02728e+12	0
0.0482143	1	3	2	0.00333333	7.02728e+12	0
0.0482143	2	2	1	0.00333333	7.02728e+12	1
0.0482143	2	3	2	0.00333333	7.02728e+12	1
0.0482143	2	1	3	0.00333333	7.02728e+12	1
0.0482143	3	2	1	0.00333333	7.02728e+12	2
0.0482143	3	3	2	0.00333333	7.02728e+12	2
0.0482143	3	1	3	0.00333333	7.02728e+12	2
0.0492143	1	1	3	0.00333333	7.02728e+12	0
0.0492143	1	2	1	0.00333333	7.02728e+12	0
0.0492143	1	3	2	0.00333333	7.02728e+12	0
0.0492143	2	2	1	0.00333333	7.02728e+12	1
0.0492143	2	3	2	0.00333333	7.02728e+12	1
0.0492143	2	1	3	0.00333333	7.02728e+12	1
0.0492143	3	2	1	0.00333333	7.02728e+12	2
0.0492143	3	3	2	0.00333333	7.02728e+12	2
0.0492143	3	1	3	0.00333333	7.02728e+12	2
0.0502143	1	1	3	0.00333333	7.02728e+12	0
0.0502143	1	2	1	0.00333333	7.02728e+12	0
0.0502143	1	3	2	0.00333333	7.02728e+12	0
0.0502143	2	2	1	0.00333333	7.02728e+12	1
0.0502143	2	3	2	0.00333333	7.02728e+12	1
0.0502143	2	1	3	0.00333333	7.02728e+12	1
0.0502143	3	2	1	0.00333333	7.02728e+12	2
0.0502143	3	3	2	0.00333333	7.02728e+12	2
0.0502143	3	1	3	0.00333333	7.02728e+12	2
0.0512143	1	1	3	0.00333333	7.02728e+12	0
0.0512143	1	2	1	0.00333333	7.02728e+12	0
0.0512143	1	3	2	0.00333333	7.02728e+12	0
0.0512143	2	2	1	0.00333333	7.02728e+12	1
0.0512143	2	3	2	0.00333333	7.02728e+12	1
0.0512143	2	1	3	0.00333333	7.02728e+12	1
0.0512143	3	2	1	0.00333333	7.02728e+12	2
0.0512143	3	3	2	0.00333333	7.02728e+12	2
0.0512143	3	1	3	0.00333333	7.02728e+12	2
0.0522143	1	1	3	0.00333333	7.02728e+12	0
0.0522143	1	2	1	0.00333333	7.02728e+12	0
0.0522143	1	3	2	0.00333333	7.02728e+12	0
0.0522143	2	2	1	0.00333333	7.02728e+12	1
0.0522143	2	3	2	0.00333333	7.02728e+12	1
0.0522143	2	1	3	0.00333333	7.02728e+12	1
0.0522143	3	2	1	0.00333333	7.02728e+12	2
0.0522143	3	3	2	0.00333333	7.02728e+12	2
0.0522143	3	1	3	0.00333333	7.02728e+12	2
0.0532143	1	1	3	0.00333333	7.02728e+12	0
0.0532143	1	2	1	0.00333333	7.02728e+12	0
0.0532143	1	3	2	0.00333333	7.02728e+12	0
0.0532143	2	2	1	0.00333333	7.02728e+12	1
0.0532143	2	3	2	0.00333333	7.02728e+12	1
0.0532143	2	1	3	0.00333333	7.02728e+12	1
0.0532143	3	2	1	0.00333333	7.02728e+12	2
0.0532143	3	3	2	0.00333333	7.02728e+12	2
0.0532143	3	1	3	0.00333333	7.02728e+12	2
0.0542143	1	1	3	0.00333333	7.02728e+12	0
0.0542143	1	2	1	0.00333333	7.02728e+12	0
0.0542143	1	3	2	0.00333333	7.02728e+12	0
0.0542143	2	2	1	0.00333333	7.02728e+12	1
0.0542143	2	3	2	0.00333333	7.02728e+12	1
0.0542143	2	1	3	0.00333333	7.02728e+12	1
0.0542143	3	2	1	0.00333333	7.02728e+12	2
0.0542143	3	3	2	0.00333333	7.02728e+12	2
0.0542143	3	1	3	0.00333333	7.02728e+12	2
0.0552143	1	1	3	0.00333333	7.02728e+12	0
0.0552143	1	2	1	0.00333333	7.02728e+12	0
0.0552143	1	3	2	0.00333333	7.02728e+12	0
0.0552143	2	2	1	0.00333333	7.02728e+12	1
0.0552143	2	3	2	0.00333333	7.02728e+12	1
0.0552143	2	1	3	0.00333333	7.02728e+12	1
0.0552143	3	2	1	0.00333333	7.02728e+12	2
0.0552143	3	3	2	0.00333333	7.02728e+12	2
0.0552143	3	1	3	0.00333333	7.02728e+12	2
0.0562143	1	1	3	0.00333333	7.02728e+12	0
0.0562143	1	2	1	0.00333333	7.02728e+12	0
0.0562143	1	3	2	0.00333333	7.02728e+12	0
0.0562143	2	2	1	0.00333333	7.02728e+12	1
0.0562143	2	3	2	0.00333333	7.02728e+12	1
0.0562143	2	1	3	0.00333333	7.02728e+12	1
0.0562143	3	2	1	0.00333333	7.02728e+12	2
0.0562143	3	3	2	0.00333333	7.02728e+12	2
0.0562143	3	1	3	0.00333333	7.02728e+12	2
0.0572143	1	1	3	0.00333333	7.02728e+12	0
0.0572143	1	2	1	0.00333333	7.02728e+12	0
0.0572143	1	3	2	0.00333333	7.02728e+12	0
0.0572143	2	2	1	0.00333333	7.02728e+12	1
0.0572143	2	3	2	0.00333333	7.02728e+12	1
0.0572143	2	1	3	0.00333333	7.02728e+12	1
0.0572143	3	2	1	0.00333333	7.02728e+12	2
0.0572143	3	3	2	0.00333333	7.02728e+12	2
0.0572143	3	1	3	0.00333333	7.02728e+12	2
0.0582143	1	1	3	0.00333333	7.02728e+12	0
0.0582143	1	2	1	0.00333333	7.02728e+12	0
0.0582143	1	3	2	0.00333333	7.02728e+12	0
0.0582143	2	2	1	0.00333333	7.02728e+12	1
0.0582143	2	3	2	0.00333333	7.02728e+12	1
0.0582143	2	1	3	0.00333333	7.02728e+12	1
0.0582143	3	2	1	0.00333333	7.02728e+12	2
0.0582143	3	3	2	0.00333333	7.02728e+12	2
0.0582143	3	1	3	0.00333333	7.02728e+12	2
0.0592143	1	1	3	0.00333333	7.02728e+12	0
0.0592143	1	2	1	0.00333333	7.02728e+12	0
0.0592143	1	3	2	0.00333333	7.02728e+12	0
0.0592143	2	2	1	0.00333333	7.02728e+12	1
0.0592143	2	3	2	0.00333333	7.02728e+12	1
0.0592143	2	1	3	0.00333333	7.02728e+12	1
0.0592143	3	2	1	0.00333333	7.02728e+12	2
0.0592143	3	3	2	0.00333333	7.02728e+12	2
0.0592143	3	1	3	0.00333333	7.02728e+12	2
0.0602143	1	1	3	0.00333333	7.02728e+12	0
0.0602143	1	2	1	0.00333333	7.02728e+12	0
0.0602143	1	3	2	0.00333333	7.02728e+12	0
0.0602143	2	2	1	0.00333333	7.02728e+12	1
0.0602143	2	3	2	0.00333333	7.02728e+12	1
0.0602143	2	1	3	0.00333333	7.02728e+12	1
0.0602143	3	2	1	0.00333333	7.02728e+12	2
0.0602143	3	3	2	0.00333333	7.02728e+12	2
0.0602143	3	1	3	0.00333333	7.02728e+12	2
0.0612143	1	1	3	0.00333333	7.02728e+12	0
