% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
128	2	2	1	0	28	749	0	1	1
128	2	3	2	0	28	749	0	1	1
128	2	1	3	0	28	749	0	1	1
128	3	2	1	0	28	749	0	1	2
128	3	3	2	0	28	749	0	1	2
128	3	1	3	0	28	749	0	1	2
129	1	1	3	0	28	749	0	1	0
129	1	2	1	0	28	749	0	1	0
129	1	3	2	0	28	749	0	1	0
129	2	2	1	0	28	749	0	1	1
129	2	3	2	0	28	749	0	1	1
129	2	1	3	0	28	749	0	1	1
129	3	2	1	0	28	749	0	1	2
129	3	3	2	0	28	749	0	1	2
129	3	1	3	0	28	749	0	1	2
130	1	1	3	0	28	749	0	1	0
130	1	2	1	0	28	749	0	1	0
130	1	3	2	0	28	749	0	1	0
130	2	2	1	0	28	749	0	1	1
130	2	3	2	0	28	749	0	1	1
130	2	1	3	0	28	749	0	1	1
130	3	2	1	0	28	749	0	1	2
130	3	3	2	0	28	749	0	1	2
130	3	1	3	0	28	749	0	1	2
131	1	1	3	0	28	749	0	1	0
131	1	2	1	0	28	749	0	1	0
131	1	3	2	0	28	749	0	1	0
131	2	2	1	0	28	749	0	1	1
131	2	3	2	0	28	749	0	1	1
131	2	1	3	0	28	749	0	1	1
131	3	2	1	0	28	749	0	1	2
131	3	3	2	0	28	749	0	1	2
131	3	1	3	0	28	749	0	1	2
132	1	1	3	0	28	749	0	1	0
132	1	2	1	0	28	749	0	1	0
132	1	3	2	0	28	749	0	1	0
132	2	2	1	0	28	749	0	1	1
132	2	3	2	0	28	749	0	1	1
132	2	1	3	0	28	749	0	1	1
132	3	2	1	0	28	749	0	1	2
132	3	3	2	0	28	749	0	1	2
132	3	1	3	0	28	749	0	1	2
133	1	1	3	0	28	749	0	1	0
133	1	2	1	0	28	749	0	1	0
133	1	3	2	0	28	749	0	1	0
133	2	2	1	0	28	749	0	1	1
133	2	3	2	0	28	749	0	1	1
133	2	1	3	0	28	749	0	1	1
133	3	2	1	0	28	749	0	1	2
133	3	3	2	0	28	749	0	1	2
133	3	1	3	0	28	749	0	1	2
134	1	1	3	0	28	749	0	1	0
134	1	2	1	0	28	749	0	1	0
134	1	3	2	0	28	749	0	1	0
134	2	2	1	0	28	749	0	1	1
134	2	3	2	0	28	749	0	1	1
134	2	1	3	0	28	749	0	1	1
134	3	2	1	0	28	749	0	1	2
134	3	3	2	0	28	749	0	1	2
134	3	1	3	0	28	749	0	1	2
135	1	1	3	0	28	749	0	1	0
135	1	2	1	0	28	749	0	1	0
135	1	3	2	0	28	749	0	1	0
135	2	2	1	0	28	749	0	1	1
135	2	3	2	0	28	749	0	1	1
135	2	1	3	0	28	749	0	1	1
135	3	2	1	0	28	749	0	1	2
135	3	3	2	0	28	749	0	1	2
135	3	1	3	0	28	749	0	1	2
136	1	1	3	0	28	749	0	1	0
136	1	2	1	0	28	749	0	1	0
136	1	3	2	0	28	749	0	1	0
136	2	2	1	0	28	749	0	1	1
136	2	3	2	0	28	749	0	1	1
136	2	1	3	0	28	749	0	1	1
136	3	2	1	0	28	749	0	1	2
136	3	3	2	0	28	749	0	1	2
136	3	1	3	0	28	749	0	1	2
137	1	1	3	0	28	749	0	1	0
137	1	2	1	0	28	749	0	1	0
137	1	3	2	0	28	749	0	1	0
137	2	2	1	0	28	749	0	1	1
137	2	3	2	0	28	749	0	1	1
137	2	1	3	0	28	749	0	1	1
137	3	2	1	0	28	749	0	1	2
137	3	3	2	0	28	749	0	1	2
137	3	1	3	0	28	749	0	1	2
138	1	1	3	0	28	749	0	1	0
138	1	2	1	0	28	749	0	1	0
138	1	3	2	0	28	749	0	1	0
138	2	2	1	0	28	749	0	1	1
138	2	3	2	0	28	749	0	1	1
138	2	1	3	0	28	749	0	1	1
138	3	2	1	0	28	749	0	1	2
138	3	3	2	0	28	749	0	1	2
138	3	1	3	0	28	749	0	1	2
139	1	1	3	0	28	749	0	1	0
139	1	2	1	0	28	749	0	1	0
139	1	3	2	0	28	749	0	1	0
139	2	2	1	0	28	749	0	1	1
139	2	3	2	0	28	749	0	1	1
139	2	1	3	0	28	749	0	1	1
139	3	2	1	0	28	749	0	1	2
139	3	3	2	0	28	749	0	1	2
139	3	1	3	0	28	749	0	1	2
140	1	1	3	0	28	749	0	1	0
140	1	2	1	0	28	749	0	1	0
140	1	3	2	0	28	749	0	1	0
140	2	2	1	0	28	749	0	1	1
140	2	3	2	0	28	749	0	1	1
140	2	1	3	0	28	749	0	1	1
140	3	2	1	0	28	749	0	1	2
140	3	3	2	0	28	749	0	1	2
140	3	1	3	0	28	749	0	1	2
141	1	1	3	0	28	749	0	1	0
141	1	2	1	0	28	749	0	1	0
141	1	3	2	0	28	749	0	1	0
141	2	2	1	0	28	749	0	1	1
141	2	3	2	0	28	749	0	1	1
141	2	1	3	0	28	749	0	1	1
141	3	2	1	0	28	749	0	1	2
141	3	3	2	0	28	749	0	1	2
141	3	1	3	0	28	749	0	1	2
142	1	1	3	0	28	749	0	1	0
142	1	2	1	0	28	749	0	1	0
142	1	3	2	0	28	749	0	1	0
142	2	2	1	0	28	749	0	1	1
142	2	3	2	0	28	749	0	1	1
142	2	1	3	0	28	749	0	1	1
